{'loss': 1.3992, 'grad_norm': 0.42832428216934204, 'learning_rate': 0.00019666666666666666, 'epoch': 0.0}
{'loss': 1.2, 'grad_norm': 0.43373656272888184, 'learning_rate': 0.00019333333333333333, 'epoch': 0.0}
{'loss': 1.1156, 'grad_norm': 0.5523543357849121, 'learning_rate': 0.00019, 'epoch': 0.0}
{'loss': 1.0741, 'grad_norm': 0.46904492378234863, 'learning_rate': 0.0001866666666666667, 'epoch': 0.0}
{'loss': 0.999, 'grad_norm': 0.2268311083316803, 'learning_rate': 0.00018333333333333334, 'epoch': 0.0}
{'loss': 0.7623, 'grad_norm': 0.2460269331932068, 'learning_rate': 0.00018, 'epoch': 0.0}
{'loss': 2.576, 'grad_norm': 2.679525375366211, 'learning_rate': 0.00017666666666666666, 'epoch': 0.0}
{'loss': 1.0554, 'grad_norm': 0.4790789484977722, 'learning_rate': 0.00017333333333333334, 'epoch': 0.0}
{'loss': 1.2193, 'grad_norm': 0.5752992630004883, 'learning_rate': 0.00017, 'epoch': 0.0}
{'loss': 0.9278, 'grad_norm': 0.3516261577606201, 'learning_rate': 0.0001666666666666667, 'epoch': 0.0}
{'loss': 0.8828, 'grad_norm': 0.2455599159002304, 'learning_rate': 0.00016333333333333334, 'epoch': 0.0}
{'loss': 1.0856, 'grad_norm': 0.31163161993026733, 'learning_rate': 0.00016, 'epoch': 0.0}
{'loss': 1.0158, 'grad_norm': 0.3004146218299866, 'learning_rate': 0.00015666666666666666, 'epoch': 0.0}
{'loss': 0.9042, 'grad_norm': 0.2947379946708679, 'learning_rate': 0.00015333333333333334, 'epoch': 0.0}
{'loss': 1.0467, 'grad_norm': 0.9969574809074402, 'learning_rate': 0.00015000000000000001, 'epoch': 0.0}
{'loss': 0.8891, 'grad_norm': 0.2307928204536438, 'learning_rate': 0.00014666666666666666, 'epoch': 0.0}
{'loss': 0.9633, 'grad_norm': 0.23625048995018005, 'learning_rate': 0.00014333333333333334, 'epoch': 0.0}
{'loss': 1.0892, 'grad_norm': 0.5506137013435364, 'learning_rate': 0.00014, 'epoch': 0.0}
{'loss': 1.6753, 'grad_norm': 1.4304120540618896, 'learning_rate': 0.00013666666666666666, 'epoch': 0.0}
{'loss': 0.812, 'grad_norm': 0.31380027532577515, 'learning_rate': 0.00013333333333333334, 'epoch': 0.0}
{'loss': 1.3359, 'grad_norm': 0.42197385430336, 'learning_rate': 0.00013000000000000002, 'epoch': 0.0}
{'loss': 1.0912, 'grad_norm': 0.3499206602573395, 'learning_rate': 0.00012666666666666666, 'epoch': 0.0}
{'loss': 1.1699, 'grad_norm': 0.4479478597640991, 'learning_rate': 0.00012333333333333334, 'epoch': 0.0}
{'loss': 1.0103, 'grad_norm': 0.28362587094306946, 'learning_rate': 0.00012, 'epoch': 0.0}
{'loss': 0.7704, 'grad_norm': 0.2762621343135834, 'learning_rate': 0.00011666666666666668, 'epoch': 0.0}
{'loss': 0.9771, 'grad_norm': 0.337103933095932, 'learning_rate': 0.00011333333333333334, 'epoch': 0.0}
{'loss': 1.2416, 'grad_norm': 0.6293394565582275, 'learning_rate': 0.00011000000000000002, 'epoch': 0.0}
{'loss': 1.0397, 'grad_norm': 0.4832775890827179, 'learning_rate': 0.00010666666666666667, 'epoch': 0.0}
{'loss': 0.9823, 'grad_norm': 0.33378511667251587, 'learning_rate': 0.00010333333333333334, 'epoch': 0.0}
{'loss': 0.9632, 'grad_norm': 0.4699358344078064, 'learning_rate': 0.0001, 'epoch': 0.0}
{'loss': 0.9068, 'grad_norm': 0.4306378960609436, 'learning_rate': 9.666666666666667e-05, 'epoch': 0.0}
{'loss': 0.8453, 'grad_norm': 0.30793556571006775, 'learning_rate': 9.333333333333334e-05, 'epoch': 0.0}
{'loss': 0.8614, 'grad_norm': 0.2381303310394287, 'learning_rate': 9e-05, 'epoch': 0.01}
{'loss': 1.0487, 'grad_norm': 0.5207480192184448, 'learning_rate': 8.666666666666667e-05, 'epoch': 0.01}
{'loss': 0.6665, 'grad_norm': 0.5066723227500916, 'learning_rate': 8.333333333333334e-05, 'epoch': 0.01}
{'loss': 1.084, 'grad_norm': 0.3149811625480652, 'learning_rate': 8e-05, 'epoch': 0.01}
{'loss': 0.7889, 'grad_norm': 0.4385094940662384, 'learning_rate': 7.666666666666667e-05, 'epoch': 0.01}
{'loss': 1.0644, 'grad_norm': 0.5924072861671448, 'learning_rate': 7.333333333333333e-05, 'epoch': 0.01}
{'loss': 1.2211, 'grad_norm': 0.5877910256385803, 'learning_rate': 7e-05, 'epoch': 0.01}
{'loss': 1.2371, 'grad_norm': 0.43968474864959717, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.01}
{'loss': 1.101, 'grad_norm': 0.2693110406398773, 'learning_rate': 6.333333333333333e-05, 'epoch': 0.01}
{'loss': 1.1572, 'grad_norm': 0.29918089509010315, 'learning_rate': 6e-05, 'epoch': 0.01}
{'loss': 0.7738, 'grad_norm': 0.375074177980423, 'learning_rate': 5.666666666666667e-05, 'epoch': 0.01}
{'loss': 1.1996, 'grad_norm': 1.0029938220977783, 'learning_rate': 5.333333333333333e-05, 'epoch': 0.01}
{'loss': 0.8149, 'grad_norm': 0.3346156179904938, 'learning_rate': 5e-05, 'epoch': 0.01}
{'loss': 1.3693, 'grad_norm': 0.6444855332374573, 'learning_rate': 4.666666666666667e-05, 'epoch': 0.01}
{'loss': 0.8672, 'grad_norm': 0.24698469042778015, 'learning_rate': 4.3333333333333334e-05, 'epoch': 0.01}
{'loss': 1.5265, 'grad_norm': 0.9140793681144714, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 0.8708, 'grad_norm': 0.34123852849006653, 'learning_rate': 3.6666666666666666e-05, 'epoch': 0.01}
{'loss': 0.9356, 'grad_norm': 0.24391181766986847, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.01}
